date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-19,dep,THY6118,TK6118,Turkish Airlines,LTFM,VOMM,2026-07-19T04:20:00+00:00,2026-07-19T06:05:00+00:00,2026-07-19T03:08:04+00:00,2026-07-19T20:51:46+00:00,105,scheduled,,,4bb150,-177,actuals_disagree
2026-07-19,dep,THY366,TK366,Turkish Airlines,LTFM,UZTT,2026-07-19T07:15:00+00:00,2026-07-19T07:30:00+00:00,2026-07-19T04:33:12+00:00,2026-07-19T06:30:05+00:00,15,landed,,F7A,4bb075,-177,actuals_disagree
2026-07-19,dep,THY142,TK142,Turkish Airlines,LTFM,OERK,2026-07-19T07:20:00+00:00,2026-07-19T07:33:00+00:00,2026-07-19T04:35:28+00:00,2026-07-19T06:26:25+00:00,13,landed,,F12A,4bb066,-178,actuals_disagree
2026-07-19,dep,THY6411,TK6411,Turkish Airlines,LTFM,EHAM,2026-07-19T07:20:00+00:00,2026-07-19T07:42:00+00:00,2026-07-19T04:44:06+00:00,2026-07-19T07:41:17+00:00,22,landed,,,4ba892,-178,actuals_disagree
2026-07-19,dep,THY1389,TK1389,Turkish Airlines,LTFM,LFBD,2026-07-19T07:15:00+00:00,2026-07-19T07:43:00+00:00,2026-07-19T04:44:30+00:00,2026-07-19T08:14:26+00:00,28,landed,,B6A,4bb289,-178,actuals_disagree
2026-07-19,dep,THY846,TK846,Turkish Airlines,LTFM,OSDI,2026-07-19T07:15:00+00:00,2026-07-19T07:52:00+00:00,2026-07-19T04:53:33+00:00,2026-07-19T06:25:20+00:00,37,landed,,F18,4ba9c5,-178,actuals_disagree
2026-07-19,dep,RJB102,,Panellenic Airlines,LTFM,LGIR,2026-07-19T07:00:00+00:00,2026-07-19T08:46:00+00:00,2026-07-19T05:47:46+00:00,2026-07-19T06:43:23+00:00,106,scheduled,,,468627,-178,actuals_disagree
2026-07-19,dep,IRB9734,B99734,Iran Airtour,LTFM,OIMM,2026-07-19T13:15:00+00:00,2026-07-19T13:41:00+00:00,2026-07-19T10:42:28+00:00,2026-07-19T11:48:27+00:00,26,scheduled,,,73348c,-179,actuals_disagree
2026-07-19,dep,IRB9711,B99711,Iran Airtour,LTFM,OIIE,2026-07-19T13:15:00+00:00,2026-07-19T14:23:00+00:00,2026-07-19T11:25:43+00:00,2026-07-19T12:34:35+00:00,68,scheduled,,,733495,-177,actuals_disagree
2026-07-19,dep,THY6315,TK6315,Turkish Airlines,LTFM,VABB,2026-07-19T14:45:00+00:00,2026-07-19T17:38:00+00:00,2026-07-19T14:40:43+00:00,2026-07-19T20:57:19+00:00,173,scheduled,,,4bb14e,-177,actuals_disagree
2026-07-19,dep,THY1067,TK1067,Turkish Airlines,LTFM,LRCK,2026-07-19T19:25:00+00:00,2026-07-19T19:43:00+00:00,2026-07-19T16:45:17+00:00,2026-07-19T17:09:59+00:00,18,active,,C2,4ba994,-178,actuals_disagree
2026-07-19,dep,PGT1984,PC1984,Pegasus,LTFM,LCEN,2026-07-19T19:30:00+00:00,2026-07-19T19:48:00+00:00,2026-07-19T16:49:37+00:00,2026-07-19T18:01:54+00:00,18,landed,,B3A,4bb846,-178,actuals_disagree
2026-07-19,dep,SVA268,SV268,Saudia,LTFM,OERK,2026-07-19T19:30:00+00:00,2026-07-19T19:48:00+00:00,2026-07-19T16:49:40+00:00,2026-07-19T19:58:30+00:00,18,landed,,B2,7114c6,-178,actuals_disagree
