date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags,reason
2026-07-21,arr,THY6571,,,,LTFM,,,2026-07-20T05:49:48+00:00,2026-07-21T06:28:51+00:00,,,,,,4bb153,,,no_schedule_match
2026-07-21,arr,CCA859,,,,LTFM,,,2026-07-20T06:06:35+00:00,2026-07-21T05:36:37+00:00,,,,,,78115c,,,no_schedule_match
2026-07-21,arr,THY6585,,,,LTFM,,,2026-07-20T08:22:38+00:00,2026-07-21T08:38:50+00:00,,,,,,4bb14c,,,no_schedule_match
2026-07-21,arr,THY6282,,,OJAI,LTFM,,,2026-07-20T09:55:25+00:00,2026-07-21T11:30:24+00:00,,,,,,4ba893,,,no_schedule_match
2026-07-21,arr,CES5006,,,RCTP,LTFM,,,2026-07-20T12:24:40+00:00,2026-07-21T04:59:29+00:00,,,,,,781540,,,no_schedule_match
2026-07-21,arr,THY301,,,RJAA,LTFM,,,2026-07-20T12:26:43+00:00,2026-07-21T00:42:15+00:00,,,,,,4bb1a6,,,no_schedule_match
2026-07-21,arr,THY281,,,,LTFM,,,2026-07-20T12:39:29+00:00,2026-07-21T11:22:51+00:00,,,,,,4ba947,,,no_schedule_match
2026-07-21,arr,THY199,,,RJTT,LTFM,,,2026-07-20T12:46:22+00:00,2026-07-21T00:58:57+00:00,,,,,,4bb147,,,no_schedule_match
2026-07-21,arr,THY6627,,,KIAH,LTFM,,,2026-07-20T12:53:24+00:00,2026-07-21T00:15:24+00:00,,,,,,4bb154,,,no_schedule_match
2026-07-21,arr,THY904,,,,LTFM,,,2026-07-20T13:14:55+00:00,2026-07-21T16:27:28+00:00,,,,,,4bb0f3,,,no_schedule_match
2026-07-21,arr,THY299,,,,LTFM,,,2026-07-20T13:24:17+00:00,2026-07-21T12:52:27+00:00,,,,,,4bb183,,,no_schedule_match
2026-07-21,arr,THY560,,,LTFM,LTFM,,,2026-07-20T13:43:05+00:00,2026-07-21T05:56:43+00:00,,,,,,4bb072,,,no_schedule_match
2026-07-21,arr,THY87,,,RJBB,LTFM,,,2026-07-20T13:49:05+00:00,2026-07-21T01:25:57+00:00,,,,,,4bb18e,,,no_schedule_match
2026-07-21,arr,THY25,,,RCTP,LTFM,,,2026-07-20T13:55:24+00:00,2026-07-21T01:12:59+00:00,,,,,,4bb181,,,no_schedule_match
2026-07-21,arr,THY057,,,WIII,LTFM,,,2026-07-20T14:03:19+00:00,2026-07-21T01:23:47+00:00,,,,,,4bb10b,,,no_schedule_match
2026-07-21,arr,THY45T,,,FACT,LTFM,,,2026-07-20T14:25:28+00:00,2026-07-21T00:22:27+00:00,,,,,,4bb0f2,,,no_schedule_match
2026-07-21,arr,THY91,,,RKSI,LTFM,,,2026-07-20T14:40:29+00:00,2026-07-21T01:32:11+00:00,,,,,,4bb14a,,,no_schedule_match
2026-07-21,arr,THY41J,,,KMIA,LTFM,,,2026-07-20T14:49:38+00:00,2026-07-21T01:27:56+00:00,,,,,,4bb190,,,no_schedule_match
