time_utc,raw
2026-07-21T00:20:00+00:00,METAR LTFM 210020Z 06005KT CAVOK 23/19 Q1015 NOSIG RMK RWY17L VRB02KT RWY34L 04005KT 360V070 RWY16R 34003KT 310V030 RWY36 06002KT RWY18 VRB02KT
2026-07-21T00:50:00+00:00,METAR LTFM 210050Z VRB02KT CAVOK 23/20 Q1015 NOSIG RMK RWY17L 28002KT RWY34L VRB01KT RWY16R 00000KT RWY36 VRB02KT RWY18 VRB02KT
2026-07-21T01:20:00+00:00,METAR LTFM 210120Z 02004KT 310V080 CAVOK 23/20 Q1015 NOSIG RMK RWY17L 30004KT RWY34L 33004KT 290V020 RWY16R 27004KT 230V290 RWY36 VRB02KT RWY18 30002KT
2026-07-21T01:50:00+00:00,METAR LTFM 210150Z 30005KT 260V350 CAVOK 23/20 Q1015 NOSIG RMK RWY17L 25004KT 220V340 RWY34L 27004KT RWY16R 23005KT RWY36 VRB02KT RWY18 28006KT
2026-07-21T02:20:00+00:00,METAR LTFM 210220Z 19006KT 160V260 CAVOK 22/19 Q1014 NOSIG RMK RWY17L 16004KT RWY34L 17006KT RWY16R 16004KT RWY36 15007KT 110V180 RWY18 17006KT
2026-07-21T02:50:00+00:00,METAR LTFM 210250Z 21006KT 170V250 CAVOK 22/20 Q1014 NOSIG RMK RWY17L 20006KT RWY34L 20005KT RWY16R 18006KT RWY36 VRB04KT RWY18 19006KT
2026-07-21T03:20:00+00:00,METAR LTFM 210320Z 15004KT 120V180 CAVOK 22/19 Q1014 NOSIG RMK RWY17L 16004KT RWY34L 14004KT RWY16R 15004KT RWY36 14003KT 080V160 RWY18 17003KT 110V190
2026-07-21T03:50:00+00:00,METAR LTFM 210350Z 23004KT 120V270 CAVOK 23/20 Q1015 NOSIG RMK RWY17L 24004KT 200V260 RWY34L 25005KT 210V270 RWY16R 26006KT RWY36 20004KT 130V260 RWY18 VRB04KT
2026-07-21T04:20:00+00:00,METAR LTFM 210420Z 15004KT 100V200 CAVOK 23/19 Q1014 NOSIG RMK RWY17L 13004KT RWY34L VRB04KT RWY16R 15004KT 080V220 RWY36 VRB05KT RWY18 15004KT 110V170
2026-07-21T04:50:00+00:00,METAR LTFM 210450Z 14004KT 080V180 CAVOK 24/20 Q1014 NOSIG RMK RWY17L 12005KT RWY34L 17006KT RWY16R 12006KT RWY36 12005KT 010V160 RWY18 12005KT
